city,district,postal_code,address,price_eur,living_area_sqm,rooms,floor,energy_efficiency_class,property_type
hamburg,Mitte,20457,"HafenCity, Mitte (20457)",745000.0,47.0,1.0,8.0,B,apartment
leipzig,Nordwest,04159,"Möckern, Nordwest (04159)",295000.0,90.0,4.0,1.0,C,apartment
hamburg,Altona,22763,"Ottensen, Altona (22763)",1990000.0,166.0,4.0,1.0,C,apartment
leipzig,Nordwest,04159,"Möckern, Nordwest (04159)",190000.0,83.4,3.5,3.0,C,apartment
berlin,Friedrichshain-Kreuzberg,10247,"Friedrichshain, Friedrichshain-Kreuzberg (10247)",284000.0,37.6,1.0,1.0,C,apartment
berlin,Treptow-Köpenick,12524,"Altglienicke, Treptow-Köpenick (12524)",312000.0,73.7,3.0,,C,apartment
leipzig,Nordwest,04159,"Möckern, Nordwest (04159)",230000.0,59.0,3.0,1.0,A,apartment
berlin,Mitte,10115,"Mitte, Mitte (10115)",335000.0,48.5,2.0,,C,apartment
hamburg,Nord,22299,"Winterhude, Nord (22299)",335000.0,45.0,2.5,,G,apartment
leipzig,Nordwest,04159,"Wahren, Nordwest (04159)",119000.0,55.0,2.0,1.0,,apartment
berlin,Friedrichshain-Kreuzberg,10243,"Friedrichshain, Friedrichshain-Kreuzberg (10243)",395000.0,91.4,3.0,2.0,D,apartment
hamburg,Mitte,20535,"Hamm, Mitte (20535)",399000.0,75.0,3.0,,D,apartment
berlin,Mitte,10553,"Moabit, Mitte (10553)",155000.0,32.0,1.0,3.0,D,apartment
berlin,Friedrichshain-Kreuzberg,10247,"Friedrichshain, Friedrichshain-Kreuzberg (10247)",175000.0,48.2,1.0,1.0,C,apartment
berlin,Mitte,10179,"Mitte, Mitte (10179)",699000.0,83.6,3.0,3.0,B,apartment
berlin,Mitte,10551,"Moabit, Mitte (10551)",720000.0,279.0,,5.0,D,apartment
hamburg,Nord,22081,"Barmbek-Süd, Nord (22081)",1149000.0,129.0,4.0,4.0,B,apartment
berlin,Treptow-Köpenick,12489,"Adlershof, Treptow-Köpenick (12489)",525000.0,118.0,4.0,,C,apartment
leipzig,Südost,04299,"Stötteritz, Südost (04299)",440000.0,122.0,2.0,,C,apartment
leipzig,Mitte,04105,"Zentrum-Nordwest, Mitte (04105)",265000.0,60.0,2.0,1.0,C,apartment
hamburg,Mitte,20359,"St. Pauli, Mitte (20359)",679000.0,65.3,4.0,2.0,C,apartment
leipzig,Nordwest,04159,"Wahren, Nordwest (04159)",60000.0,26.9,1.0,,,apartment
berlin,Mitte,10559,"Moabit, Mitte (10559)",777000.0,135.0,4.0,5.0,D,apartment
hamburg,Nord,22415,"Langenhorn, Nord (22415)",170000.0,48.6,2.0,,E,apartment
hamburg,Nord,22299,"Winterhude, Nord (22299)",660000.0,84.0,3.0,1.0,F,apartment
hamburg,Wandsbek,22359,"Volksdorf, Wandsbek (22359)",475000.0,56.7,2.0,,,apartment
berlin,Treptow-Köpenick,12587,"Friedrichshagen, Treptow-Köpenick (12587)",399000.0,119.0,4.0,1.0,C,apartment
leipzig,Südost,04317,"Reudnitz-Thonberg, Südost (04317)",265000.0,81.2,3.0,5.0,,apartment
hamburg,Mitte,20099,"St. Georg, Mitte (20099)",190000.0,50.0,1.5,,,apartment
hamburg,Nord,22335,"Fuhlsbüttel, Nord (22335)",240000.0,37.3,2.0,1.0,A,apartment
leipzig,Südost,04299,"Stötteritz, Südost (04299)",135000.0,62.0,2.0,2.0,,apartment
hamburg,Nord,22299,"Winterhude, Nord (22299)",930000.0,102.9,4.0,,E,apartment
berlin,Mitte,10557,"Moabit, Mitte (10557)",1700000.0,210.0,7.0,2.0,B,apartment
leipzig,Nord,04155,"Gohlis-Süd, Nord (04155)",740000.0,111.8,3.0,1.0,,apartment
